Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Market buy,2021-03-08 14:31:53,US7427181091,PG,Procter & Gamble,0.0109802,125.99,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852471,,,
Market buy,2021-03-08 14:31:53,CA7800871021,RY,Royal Bank of Canada,0.015526,89.1,USD,1.38336,,GBP,1,GBP,,,,,,,EOF1152852465,,,
Market buy,2021-03-08 14:31:53,US5801351017,MCD,McDonald's,0.006657,207.81,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852447,,,
Market buy,2021-03-08 14:31:53,US3695501086,GD,General Dynamics,0.0080617,171.6,USD,1.38338,,GBP,1,GBP,,,,,,,EOF1152852425,,,
Market buy,2021-03-08 14:31:53,US9024941034,TSN,Tyson Foods,0.018816,73.52,USD,1.38335,,GBP,1,GBP,,,,,,,EOF1152852435,,,
Market buy,2021-03-08 14:31:53,US7134481081,PEP,PepsiCo,0.0103726,133.37,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852352,,,
Market buy,2021-03-08 14:31:54,US26441C2044,DUK,Duke Energy,0.015589,88.74,USD,1.38336,,GBP,1,GBP,,,,,,,EOF1152852658,,,
Market buy,2021-03-08 14:31:54,US8718291078,SYY,Sysco,0.01677,82.49,USD,1.38335,,GBP,1,GBP,,,,,,,EOF1152852671,,,
Market buy,2021-03-08 14:31:54,CA82028K2002,SJR,Shaw Communications,0.073978,18.7,USD,1.38338,,GBP,1,GBP,,,,,,,EOF1152852667,,,
Market buy,2021-03-08 14:31:54,US8552441094,SBUX,Starbucks,0.0131865,104.91,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852638,,,
Market buy,2021-03-08 14:31:54,US46625H1005,JPM,JPMorgan Chase & Co,0.0091049,151.94,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852588,,,
Market buy,2021-03-08 14:31:55,US8621211007,STOR,STORE Capital,0.042658,32.43,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852724,,,
Market buy,2021-03-08 14:31:55,US3546131018,BEN,Franklin Resources,0.051754,26.73,USD,1.38338,,GBP,1,GBP,,,,,,,EOF1152852695,,,
Market buy,2021-03-08 14:31:55,US5486611073,LOW,Lowe's,0.0086284,160.33,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852702,,,
Market buy,2021-03-08 14:31:55,US85254J1025,STAG,STAG Industrial,0.042763,32.35,USD,1.38338,,GBP,1,GBP,,,,,,,EOF1152852681,,,
Market buy,2021-03-08 14:31:55,US0530151036,ADP,Automatic Data Processing,0.0077471,178.57,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852689,,,
Market buy,2021-03-08 14:31:56,US1941621039,CL,Colgate-Palmolive,0.018272,75.71,USD,1.38337,,GBP,1,GBP,,,,,,,EOF1152852793,,,
Market buy,2021-03-08 14:31:56,US0394831020,ADM,Archer-Daniels-Midland,0.023996,57.65,USD,1.38336,,GBP,1,GBP,,,,,,,EOF1152852786,,,
Market buy,2021-03-08 14:31:56,US4523081093,ITW,Illinois Tool Works,0.0065319,211.79,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852762,,,
Market buy,2021-03-08 14:31:58,US7181721090,PM,Philip Morris International,0.016041,86.24,USD,1.38337,,GBP,1,GBP,,,,,,,EOF1152852841,,,
Market buy,2021-03-08 14:31:58,US74144T1088,TROW,T Rowe Price,0.007962,173.75,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852837,,,
Market buy,2021-03-08 14:31:59,US00287Y1091,ABBV,AbbVie,0.0129507,106.82,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852864,,,
Market buy,2021-03-08 14:32:00,US5021751020,LTC,LTC Properties,0.032565,42.48,USD,1.38336,,GBP,1,GBP,,,,,,,EOF1152852888,,,
Market buy,2021-03-08 14:32:01,US2788651006,ECL,Ecolab,0.00657,210.56,USD,1.38337,,GBP,1,GBP,,,,,,,EOF1152852920,,,
Market buy,2021-03-08 14:32:01,US6935061076,PPG,PPG Industries,0.0096552,143.28,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152852910,,,
Market buy,2021-03-08 14:32:04,US14149Y1082,CAH,Cardinal Health,0.025599,54.04,USD,1.38336,,GBP,1,GBP,,,,,,,EOF1152853529,,,
Market buy,2021-03-08 14:32:05,US2910111044,EMR,Emerson Electric,0.015071,91.79,USD,1.38336,,GBP,1,GBP,,,,,,,EOF1152853612,,,
Market buy,2021-03-08 14:32:08,US88579Y1010,MMM,3M,0.0076329,181.24,USD,1.38338,,GBP,1,GBP,,,,,,,EOF1152853823,,,
Market buy,2021-03-08 14:32:09,US4943681035,KMB,Kimberly-Clark,0.0105458,131.18,USD,1.38339,,GBP,1,GBP,,,,,,,EOF1152854032,,,
Market buy,2021-03-08 14:32:16,US3848021040,GWW,WW Grainger,0.0034541,400.5,USD,1.38336,,GBP,1,GBP,,,,,,,EOF1152854324,,,
Market buy,2021-03-08 15:36:06,US9042141039,UMPQ,Umpqua,2,18.47,USD,1.383,,GBP,26.71,GBP,,,,,,,EOF1154370701,,,
Market buy,2021-03-08 15:37:37,US3202091092,FFBC,First Financial Bancorp,1,24.86,USD,1.38264,,GBP,17.98,GBP,,,,,,,EOF1154371569,,,
Market buy,2021-03-08 15:38:45,US05990K1060,BANC,Banc of California,2,20.15,USD,1.38203,,GBP,29.16,GBP,,,,,,,EOF1154372436,,,
Market buy,2021-03-08 15:40:45,US0942351083,BLMN,Bloomin' Brands,1,27.84,USD,1.38232,,GBP,20.14,GBP,,,,,,,EOF1154373644,,,
Market buy,2021-03-08 16:06:04,US5663301068,MCS,Marcus,2,22.36,USD,1.38152,,GBP,32.37,GBP,,,,,,,EOF1155489707,,,
Market buy,2021-03-08 16:12:15,US76156B1070,RVLV,Revolve,1,46.11,USD,1.38095,,GBP,33.39,GBP,,,,,,,EOF1155492794,,,
Market buy,2021-03-08 16:13:13,US0303711081,AVD,American Vanguard,2,21.05,USD,1.38123,,GBP,30.48,GBP,,,,,,,EOF1155493342,,,
Market buy,2021-03-08 16:42:16,US23204G1004,CUBI,Customers Bancorp,1,29.43,USD,1.38169,,GBP,21.3,GBP,,,,,,,EOF1155508662,,,
Market buy,2021-03-08 18:04:15,US9107101027,ACIC,American Coastal Insurance,5,7.48,USD,1.38364,,GBP,27.03,GBP,,,,,,,EOF1156789607,,,
Market buy,2021-03-09 15:18:08,US0953061068,BLBD,Blue Bird,1,27.91,USD,1.39063,,GBP,20.07,GBP,,,,,,,EOF1160516795,,,
Market sell,2021-03-09 17:03:54,US0942351083,BLMN,Bloomin' Brands,1,26.35,USD,1.38903,-1.17,GBP,18.97,GBP,,,,,,,EOF1161369927,,,
Market buy,2021-03-09 17:32:55,US25401T6038,DBRG,DigitalBridge,6,6.59,USD,1.38883,,GBP,28.47,GBP,,,,,,,EOF1161378108,,,
Market buy,2021-03-09 17:43:25,US6496048405,NYMT,New York Mortgage Trust,10,4.4,USD,1.38888,,GBP,31.68,GBP,,,,,,,EOF1161381382,,,
Market buy,2021-03-09 18:02:19,US7194051022,PLAB,Photronics,3,12.1,USD,1.3892,,GBP,26.13,GBP,,,,,,,EOF1162689001,,,
Market sell,2021-03-09 18:30:35,US9107101027,ACIC,American Coastal Insurance,5,7.42,USD,1.38951,-0.33,GBP,26.7,GBP,,,,,0,,EOF1162700317,,,GBP
Market buy,2021-03-09 19:21:38,US55616P1049,M,Macy's,2,17.21,USD,1.38902,,GBP,24.78,GBP,,,,,,,EOF1162717462,,,
Market buy,2021-03-09 20:13:06,US6945521002,PMBC,Pacific Mercantile Bancorp,4,8.01,USD,1.39002,,GBP,23.05,GBP,,,,,,,EOF1162730902,,,
Market sell,2021-03-10 14:31:29,US0953061068,BLBD,Blue Bird,1,26.05,USD,1.39304,-1.37,GBP,18.7,GBP,,,,,,,EOF1164695853,,,
Market buy,2021-03-10 14:32:53,US92766K4031,SPCE,Virgin Galactic,1,33.25,USD,1.39179,,GBP,23.89,GBP,,,,,,,EOF1164698043,,,
Market sell,2021-03-10 14:48:41,US0303711081,AVD,American Vanguard,2,20.98,USD,1.39216,-0.34,GBP,30.14,GBP,,,,,0,,EOF1164721739,,,GBP
Market buy,2021-03-10 15:00:45,US81727U1051,SENS,Senseonics,10,3.37,USD,1.39083,,GBP,24.23,GBP,,,,,,,EOF1167135634,,,
Market sell,2021-03-10 15:21:38,US76156B1070,RVLV,Revolve,1,47.06,USD,1.39025,0.46,GBP,33.85,GBP,,,,,,,EOF1167151672,,,
Market buy,2021-03-10 16:12:18,US73102V1052,POLA,Polar Power,3,14.39,USD,1.38899,,GBP,31.08,GBP,,,,,,,EOF1168433163,,,
Market buy,2021-03-10 17:19:31,US38046C1099,GOGO,Gogo,3,13.29,USD,1.38919,,GBP,28.7,GBP,,,,,,,EOF1168459922,,,
Market buy,2021-03-10 18:31:59,US29082A1079,ERJ,Embraer,4,9.29,USD,1.39123,,GBP,26.71,GBP,,,,,,,EOF1170051107,,,
Market buy,2021-03-10 20:07:30,US37045V1008,GM,General Motors,1,56.67,USD,1.39272,,GBP,40.69,GBP,,,,,,,EOF1170077782,,,
Deposit,2021-03-11 14:02:20,,,,,,,,,,35,GBP,,,,,,Transaction ID: 63401630-372f-4dc6-a462-6c5eb554c64b,55cba465-f140-419e-8296-6ad711d5bcf6,,,
Market buy,2021-03-11 14:34:16,CA9237251058,VET,Vermilion Energy,5,8.44,USD,1.39504,,GBP,30.25,GBP,,,,,,,EOF1174942113,,,
Market buy,2021-03-11 14:41:58,US29382R1077,EVC,Entravision Communications,10,3.69,USD,1.39424,,GBP,26.43,GBP,,,,,,,EOF1174949612,,,
Market buy,2021-03-11 14:47:14,US13462K1097,CWH,Camping World,1,40.88,USD,1.39427,,GBP,29.32,GBP,,,,,,,EOF1174957830,,,
Market sell,2021-03-11 14:49:29,US38046C1099,GOGO,Gogo,2,14.07,USD,1.39514,1.04,GBP,20.17,GBP,,,,,,,EOF1174959312,,,
Market sell,2021-03-11 15:06:26,US23204G1004,CUBI,Customers Bancorp,1,30.58,USD,1.39634,0.6,GBP,21.9,GBP,,,,,0,,EOF1174970591,,,GBP
Market sell,2021-03-11 15:16:34,US38046C1099,GOGO,Gogo,1,13.24,USD,1.39515,-0.08,GBP,9.49,GBP,,,,,,,EOF1174977209,,,
Market sell,2021-03-11 15:21:45,US29082A1079,ERJ,Embraer,2,9.81,USD,1.39544,0.7,GBP,14.06,GBP,,,,,,,EOF1174980930,,,
Market buy,2021-03-11 15:31:12,US92536C1036,VERU,Veru,2,14.47,USD,1.39537,,GBP,20.74,GBP,,,,,,,EOF1178335633,,,
Market buy,2021-03-11 16:11:57,US03783T1034,APPHQ,AppHarvest,2,22.68,USD,1.39655,,GBP,32.48,GBP,,,,,,,EOF1178355127,,,
Market buy,2021-03-11 16:46:27,US05351X1019,AVYAQ,Avaya,0.9,30.95,USD,1.39694,,GBP,19.94,GBP,,,,,,,EOF1178370002,,,
Market sell,2021-03-11 16:53:15,US29082A1079,ERJ,Embraer,1,9.84,USD,1.39772,0.36,GBP,7.04,GBP,,,,,,,EOF1178372268,,,
Market buy,2021-03-11 16:54:28,US05351X1019,AVYAQ,Avaya,0.1,30.82,USD,1.39457,,GBP,2.21,GBP,,,,,,,EOF1178372677,,,
Market sell,2021-03-12 14:53:35,US5663301068,MCS,Marcus,2,23.11,USD,1.38923,0.9,GBP,33.27,GBP,,,,,0,,EOF1182170537,,,GBP
Market buy,2021-03-12 14:54:24,US72919P2020,PLUG,Plug Power,1,46.6,USD,1.38855,,GBP,33.56,GBP,,,,,,,EOF1182170970,,,
Market sell,2021-03-12 14:57:27,US29082A1079,ERJ,Embraer,1,10.2,USD,1.38964,0.67,GBP,7.34,GBP,,,,,,,EOF1182173050,,,
Market sell,2021-03-12 14:58:43,US37045V1008,GM,General Motors,1,56.67,USD,1.38931,0.1,GBP,40.79,GBP,,,,,,,EOF1182173920,,,
Market buy,2021-03-12 14:59:42,IL0011681371,NNOX,Nano-X Imaging,1,43.87,USD,1.38873,,GBP,31.59,GBP,,,,,,,EOF1182174676,,,
Market sell,2021-03-12 15:08:40,US55616P1049,M,Macy's,1,18.09,USD,1.3894,0.63,GBP,13.02,GBP,,,,,,,EOF1182179607,,,
Market sell,2021-03-12 16:31:35,US29382R1077,EVC,Entravision Communications,5,4.02,USD,1.391,1.23,GBP,14.45,GBP,,,,,0,,EOF1185570694,,,GBP
Market sell,2021-03-12 16:36:07,US05990K1060,BANC,Banc of California,1,21.27,USD,1.39168,0.7,GBP,15.28,GBP,,,,,0,,EOF1185572258,,,GBP
Market sell,2021-03-12 17:15:15,US29382R1077,EVC,Entravision Communications,5,3.99,USD,1.3934,1.11,GBP,14.32,GBP,,,,,0,,EOF1185582073,,,GBP
Market sell,2021-03-12 17:19:12,US05990K1060,BANC,Banc of California,1,21.15,USD,1.39386,0.59,GBP,15.17,GBP,,,,,0,,EOF1186932957,,,GBP
Market sell,2021-03-12 17:22:08,US6496048405,NYMT,New York Mortgage Trust,5,4.68,USD,1.39285,0.96,GBP,16.8,GBP,,,,,,,EOF1186933936,,,
Market sell,2021-03-12 17:34:12,US55616P1049,M,Macy's,1,18.33,USD,1.39285,0.77,GBP,13.16,GBP,,,,,,,EOF1186937004,,,
Market sell,2021-03-12 19:10:18,US05351X1019,AVYAQ,Avaya,1,30.51,USD,1.39251,-0.24,GBP,21.91,GBP,,,,,,,EOF1186957772,,,
Market buy,2021-03-12 19:26:47,US88554D2053,DDD,3D Systems,1,30.8,USD,1.39114,,GBP,22.14,GBP,,,,,,,EOF1186961070,,,
Market buy,2021-03-12 19:55:50,US00771V1089,AERI,Aerie Pharmaceuticals,2,20.86,USD,1.39205,,GBP,29.97,GBP,,,,,,,EOF1186966340,,,
Market sell,2021-03-12 20:43:33,US00287Y1091,ABBV,AbbVie,0.0129507,108.3,USD,1.38867,0.01,GBP,1.01,GBP,,,,,,,EOF1186977313,,,
Market sell,2021-03-12 20:43:37,US0394831020,ADM,Archer-Daniels-Midland,0.023996,58.39,USD,1.38725,0.01,GBP,1.01,GBP,,,,,,,EOF1186977337,,,
Market sell,2021-03-12 20:43:42,US0530151036,ADP,Automatic Data Processing,0.0077471,182.91,USD,1.38923,0.02,GBP,1.02,GBP,,,,,,,EOF1186977383,,,
Market sell,2021-03-12 20:43:49,US0010551028,AFL,Aflac,0.02741,51.74,USD,1.39038,0.02,GBP,1.02,GBP,,,,,,,EOF1186977405,,,
Market sell,2021-03-12 20:44:18,US3546131018,BEN,Franklin Resources,0.051754,28.79,USD,1.39252,0.07,GBP,1.07,GBP,,,,,,,EOF1186977504,,,
Market sell,2021-03-12 20:44:32,CA0641491075,BNS,Bank of Nova Scotia,0.022501,63.57,USD,1.38872,0.03,GBP,1.03,GBP,,,,,,,EOF1186977557,,,
Market sell,2021-03-12 20:44:39,US14149Y1082,CAH,Cardinal Health,0.025599,57.41,USD,1.39965,0.05,GBP,1.05,GBP,,,,,,,EOF1186977588,,,
Market sell,2021-03-12 20:44:42,CA0636711016,BMO,Bank of Montreal,0.016069,88.3,USD,1.39107,0.02,GBP,1.02,GBP,,,,,,,EOF1186977592,,,
Market sell,2021-03-12 20:44:44,CH0044328745,CB,Chubb,0.0080355,174.46,USD,1.38799,0.01,GBP,1.01,GBP,,,,,,,EOF1186977603,,,
Market sell,2021-03-12 20:44:54,US1667641005,CVX,Chevron,0.0132029,111.23,USD,1.39862,0.01,GBP,1.05,GBP,,,,,,,EOF1186977636,,,
Market sell,2021-03-12 20:45:00,US2788651006,ECL,Ecolab,0.00657,214.25,USD,1.39368,0.01,GBP,1.01,GBP,,,,,,,EOF1186977657,,,
Market sell,2021-03-12 20:45:09,US2910111044,EMR,Emerson Electric,0.015071,91.99,USD,1.38638,0,GBP,1,GBP,,,,,,,EOF1186977688,,,
Market sell,2021-03-12 20:45:12,US26441C2044,DUK,Duke Energy,0.015589,91.36,USD,1.39628,0.02,GBP,1.02,GBP,,,,,,,EOF1186977705,,,
Market sell,2021-03-12 20:45:19,US3848021040,GWW,WW Grainger,0.0034541,394.27,USD,1.38964,-0.02,GBP,0.98,GBP,,,,,,,EOF1186977716,,,
Market sell,2021-03-12 20:45:25,US4592001014,IBM,IBM,0.0113642,127.38,USD,1.39189,0.03,GBP,1.04,GBP,,,,,,,EOF1186977737,,,
Market sell,2021-03-12 20:45:30,US4523081093,ITW,Illinois Tool Works,0.0065319,216.24,USD,1.39847,0.01,GBP,1.01,GBP,,,,,,,EOF1186977752,,,
Market sell,2021-03-12 20:45:35,US4781601046,JNJ,Johnson & Johnson,0.0088283,159.9,USD,1.39766,0.01,GBP,1.01,GBP,,,,,,,EOF1186977801,,,
Market sell,2021-03-12 20:45:49,US30231G1022,XOM,Exxon Mobil,0.023728,61.91,USD,1.39904,0.01,GBP,1.05,GBP,,,,,,,EOF1186977870,,,
Market sell,2021-03-12 20:45:55,US9311421039,WMT,Walmart,0.0107107,134.34,USD,1.39696,0.03,GBP,1.03,GBP,,,,,,,EOF1186977886,,,
Market sell,2021-03-12 20:46:06,US92826C8394,V,Visa,0.0063839,224.43,USD,1.391,0.03,GBP,1.03,GBP,,,,,,,EOF1186977930,,,
Market sell,2021-03-12 20:46:15,US9024941034,TSN,Tyson Foods,0.018816,75.48,USD,1.39238,0.02,GBP,1.02,GBP,,,,,,,EOF1186977957,,,
Market sell,2021-03-12 20:46:20,US74144T1088,TROW,T Rowe Price,0.007962,173.62,USD,1.39632,-0.01,GBP,0.99,GBP,,,,,,,EOF1186977971,,,
Market sell,2021-03-12 20:46:35,US8718291078,SYY,Sysco,0.01677,83.11,USD,1.39375,0,GBP,1,GBP,,,,,,,EOF1186978033,,,
Market sell,2021-03-12 20:46:45,US8621211007,STOR,STORE Capital,0.042658,33.63,USD,1.3928,0.03,GBP,1.03,GBP,,,,,,,EOF1186978058,,,
Market sell,2021-03-12 20:46:54,US85254J1025,STAG,STAG Industrial,0.042763,33.26,USD,1.3944,0.02,GBP,1.02,GBP,,,,,,,EOF1186978079,,,
Market sell,2021-03-12 20:47:05,US8243481061,SHW,Sherwin-Williams,0.0020352,709.01,USD,1.38747,0.04,GBP,1.04,GBP,,,,,,,EOF1186978118,,,
Market sell,2021-03-12 20:47:25,US8552441094,SBUX,Starbucks,0.0131865,107.69,USD,1.3922,0.02,GBP,1.02,GBP,,,,,,,EOF1186978198,,,
Market sell,2021-03-12 20:47:29,CA82028K2002,SJR,Shaw Communications,0.073978,19.17,USD,1.39035,0.02,GBP,1.02,GBP,,,,,,,EOF1186978216,,,
Market sell,2021-03-12 20:47:32,US6935061076,PPG,PPG Industries,0.0096552,144.99,USD,1.3999,0,GBP,1,GBP,,,,,,,EOF1186978236,,,
Market sell,2021-03-12 20:47:33,CA7800871021,RY,Royal Bank of Canada,0.015526,93.19,USD,1.39121,0.04,GBP,1.04,GBP,,,,,,,EOF1186978244,,,
Market sell,2021-03-12 20:47:42,US7181721090,PM,Philip Morris International,0.016041,87.71,USD,1.39302,0.01,GBP,1.01,GBP,,,,,,,EOF1186978268,,,
Market sell,2021-03-12 20:47:49,US7427181091,PG,Procter & Gamble,0.0109802,128.23,USD,1.39405,0.01,GBP,1.01,GBP,,,,,,,EOF1186978298,,,
Market sell,2021-03-12 20:47:59,US7561091049,O,Realty Income,0.023196,62.73,USD,1.39912,0.04,GBP,1.04,GBP,,,,,,,EOF1186978324,,,
Market sell,2021-03-12 20:48:05,US00206R1023,T,AT&T,0.046395,29.85,USD,1.39887,-0.01,GBP,0.99,GBP,,,,,,,EOF1186978333,,,
Market sell,2021-03-12 20:48:06,US7134481081,PEP,PepsiCo,0.0103726,133.18,USD,1.39537,-0.01,GBP,0.99,GBP,,,,,,,EOF1186978337,,,
Market sell,2021-03-12 20:48:14,US02209S1033,MO,Altria,0.031256,48.67,USD,1.39562,0.07,GBP,1.09,GBP,,,,,,,EOF1186978366,,,
Market sell,2021-03-12 20:48:23,US88579Y1010,MMM,3M,0.0076329,185.3,USD,1.38664,0.02,GBP,1.02,GBP,,,,,,,EOF1186978405,,,
Market sell,2021-03-12 20:48:37,US5590801065,MMP,Magellan Midstream Partners,0.032697,45.28,USD,1.39671,0,GBP,1.06,GBP,,,,,,,EOF1186978449,,,
Market sell,2021-03-12 20:48:39,IE00BTN1Y115,MDT,Medtronic,0.0116959,118.98,USD,1.39157,0,GBP,1,GBP,,,,,,,EOF1186978458,,,
Market sell,2021-03-12 20:48:45,US5801351017,MCD,McDonald's,0.006657,212.51,USD,1.38694,0.02,GBP,1.02,GBP,,,,,,,EOF1186978489,,,
Market sell,2021-03-12 20:48:51,US5021751020,LTC,LTC Properties,0.032565,43.5,USD,1.3888,0.02,GBP,1.02,GBP,,,,,,,EOF1186978513,,,
Market sell,2021-03-12 20:48:59,US56035L1044,MAIN,Main Street Capital,0.03748,38.39,USD,1.39694,0.03,GBP,1.03,GBP,,,,,,,EOF1186978553,,,
Market sell,2021-03-12 20:49:06,US5486611073,LOW,Lowe's,0.0086284,171.21,USD,1.39364,0.06,GBP,1.06,GBP,,,,,,,EOF1186978590,,,
Market sell,2021-03-12 20:49:16,US4943681035,KMB,Kimberly-Clark,0.0105458,133.78,USD,1.39684,0.01,GBP,1.01,GBP,,,,,,,EOF1186978625,,,
Market sell,2021-03-12 20:49:29,US46625H1005,JPM,JPMorgan Chase & Co,0.0091049,155.93,USD,1.39188,0.02,GBP,1.02,GBP,,,,,,,EOF1186978693,,,
Market sell,2021-03-12 20:49:30,US1912161007,KO,Coca-Cola,0.026867,50.31,USD,1.39348,-0.03,GBP,0.97,GBP,,,,,,,EOF1186978694,,,
Market sell,2021-03-12 20:49:39,US3695501086,GD,General Dynamics,0.0080617,176.35,USD,1.3938,0.02,GBP,1.02,GBP,,,,,,,EOF1186978734,,,
Market sell,2021-03-12 20:49:50,US1941621039,CL,Colgate-Palmolive,0.018272,75.64,USD,1.39605,-0.01,GBP,0.99,GBP,,,,,,,EOF1186978789,,,
Market buy,2021-03-15 13:45:20,US05614L2097,BW,Babcock & Wilcox Enterprises,6,7.8,USD,1.39113,,GBP,33.62,GBP,,,,,,,EOF1190457060,,,
Market buy,2021-03-15 13:51:29,US2362721001,DNMR,Danimer Scientific,1,45.26,USD,1.39047,,GBP,32.55,GBP,,,,,,,EOF1190464584,,,
Market buy,2021-03-15 13:57:40,US60879E2000,MNTS,Momentus,3,16.85,USD,1.39064,,GBP,36.35,GBP,,,,,,,EOF1190468554,,,
Market buy,2021-03-15 14:01:40,US88688T1007,TLRY,Tilray Brands,2,28.42,USD,1.39041,,GBP,40.88,GBP,,,,,,,EOF1190471776,,,
Market sell,2021-03-15 14:36:11,US9042141039,UMPQ,Umpqua,2,18.29,USD,1.38928,-0.38,GBP,26.33,GBP,,,,,0,,EOF1193728380,,,GBP
